Distances,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6,Read 7,Read 8,Read 9,Read 10,Read Avg,Read Max,Read Min,Read Difference,Round Avg,+/-,Round Min,Round Max,n
Dist 28,88.3641169625731,68.65374666929803,93.09978334276062,88.7925795630093,71.80370547395479,68.03804662735412,93.53405906497711,70.88401005983091,76.36932643698916,89.04695485618632,80.85863290569333,93.53405906497711,68.03804662735412,26,81,13,68,94,28
Dist 29,161.51957741985825,145.31006143054347,155.14378154179948,147.4948154552763,162.28641477405998,140.57322635831272,153.17019617406316,138.97605131471943,154.14186415537853,146.02188918632837,150.46378778103394,162.28641477405998,138.97605131471943,23,150,12,138,162,29
Dist 30,123.19056101728262,110.90550901807931,120.06710592841726,112.66228817980603,118.65648013703478,105.89666051580969,119.54204332447372,103.31171921469786,113.4201363169781,109.22237219466484,113.68748758472444,123.19056101728262,103.31171921469786,20,114,10,104,124,30
Dist 31,143.28530898637572,132.27839516213382,141.30200922354692,134.95921943361128,137.81855586225385,124.70609514581551,140.37004956923727,122.64946093033444,131.69293772169075,128.5186874311688,133.7580719466168,143.28530898637572,122.64946093033444,20,134,10,124,144,31
Dist 32,169.49343039244272,158.42270359509135,168.13597135577191,161.85792905902494,164.61904110072706,148.59631877130002,166.87937531271265,147.42992025210384,157.17430415102262,154.094945320189,159.6703939310386,169.49343039244272,147.42992025210384,22,160,11,149,171,32
Dist 33,177.8739047985998,169.45919560770292,171.5970356554833,174.05208258440635,177.48167796229816,159.70172407675568,170.01056649965938,158.03459664834872,171.23398436922386,169.9548536608254,169.93996218633038,177.8739047985998,158.03459664834872,20,170,10,160,180,33
Dist 34,133.86784048321476,127.30099514441817,129.67719104035538,131.6100147527235,128.79932930269302,120.76181738228902,128.98971492810608,116.25587826137792,126.03790243089819,127.84567265007318,127.11463563761492,133.86784048321476,116.25587826137792,18,127,9,118,136,34
Dist 35,140.59556093643823,130.51986016941188,137.9753630097521,131.99813668925242,133.3497387373446,123.3105062196,138.3256215234689,124.21071717729545,126.17392893707674,128.5186874311688,131.4978120830809,140.59556093643823,123.3105062196,18,131,9,122,140,35
Dist 36,161.28075796028787,150.92132616506308,159.8445418694686,152.04494072878953,155.18104338956297,142.59479812376614,160.90433797056676,144.8247746700167,145.70257661067944,148.11860158231724,152.14176990705184,161.28075796028787,142.59479812376614,18,152,9,143,161,36
Dist 37,33.20427216770715,31.020650412138842,31.744104024773012,30.921367897852118,29.85654064965963,27.502750275027495,28.933010202300714,31.70029300231217,30.532235909545786,34.73521784979553,31.01504423911125,34.73521784979553,27.502750275027495,7,31,4,27,35,37
Dist 38,59.52930994280402,54.70159135091065,59.80895787207445,53.63691813364029,55.88821257321473,45.90241154020915,54.91635606168029,45.42046009395546,55.51359649847659,54.776187624513035,54.00940016914787,59.80895787207445,45.42046009395546,15,54,8,46,62,38
Dist 39,48.634840568541165,48.91656783519602,52.113320459666234,47.66101507932719,48.62602973795345,40.345700376000536,47.49851051845399,35.41697830793156,47.38529673872518,46.1960464996042,46.279430612139954,52.113320459666234,35.41697830793156,17,46,8,38,54,39
Dist 40,39.88441676398218,48.61492116939803,45.83956441745426,46.88808252124049,41.9566845309878,40.39067051856065,42.32705984358525,33.01560606869408,36.56240224923126,42.69968819827163,41.817909628140555,48.61492116939803,33.01560606869408,16,42,8,34,50,40
Dist 41,45.35398230088495,52.92479363470824,46.98638223337842,51.39887880893949,39.38408236658657,47.31752072080652,44.785026554118645,49.69618302501441,40.11113533736301,54.383843156114395,47.23418281379146,54.383843156114395,39.38408236658657,15,47,8,39,55,41
Dist 42,75.15614049319925,77.60495530945552,74.57234924190027,76.62092465604144,69.62187928055722,67.54711301654015,73.52681440104824,63.04529309263552,69.41490052472852,76.35949051071822,72.34698605268245,77.60495530945552,63.04529309263552,15,72,8,64,80,42
Dist 43,62.89765033552875,66.61474294283137,63.6499617080083,66.00598854124569,60.519386974342694,56.22412470486528,63.763893711551894,47.89108523550122,59.910547548054865,63.55567443461603,61.103305613654605,66.61474294283137,47.89108523550122,19,61,10,51,71,43
Dist 44,48.68513514306501,53.144375553587246,49.689208086566296,51.8823938794533,49.12191800837889,42.32207714339128,51.022496721263536,29.578059168719022,48.05464875870029,49.47053047565907,47.2970842938784,53.144375553587246,29.578059168719022,23,47,12,35,59,44
