Distances,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6,Read 7,Read 8,Read 9,Read 10,Read Avg,Read Max,Read Min,Read Difference,Round Avg,+/-,Round Min,Round Max,n
Dist 33,63.17391632769545,58.75215386472206,50.78945564122887,45.5761406694429,65.52892130383269,47.8451641337997,59.720067118283794,63.21922592350842,56.432965035008785,55.35872453498672,56.63967345525094,65.52892130383269,45.5761406694429,20,57,10,47,67,33
Dist 34,38.49190682984602,37.09907585028498,38.847680219729604,35.2636535600712,38.46451250995274,31.619109649537936,34.913916896533266,40.561984231125024,33.34116712507247,32.91866418803921,36.15216710601924,40.561984231125024,31.619109649537936,9,36,4,32,40,34
Dist 35,35.338558606332725,32.757581016788066,35.41847377730841,30.98389101737297,39.25705005849245,29.720367854425266,32.355680707382334,35.04844657656455,33.85977902100526,32.58179576962392,33.73216244052959,39.25705005849245,29.720367854425266,9,34,4,30,38,35
Dist 36,60.52802252847202,58.283835896748236,55.21887307267668,47.958568841696824,63.46268932134633,52.83091098987893,54.95840962903531,61.681636186559906,56.507449984038026,59.79767323468014,57.122806968513245,63.46268932134633,47.958568841696824,15,57,8,49,65,36
Dist 37,84.91401169458128,80.26971215525077,67.0120767294667,58.70312774610877,87.32141568800265,63.99161222058648,80.33325564950296,83.66792243297354,78.39534829546646,75.36109865031725,75.99695812622568,87.32141568800265,58.70312774610877,28,76,14,62,90,37
Dist 38,62.499566517913784,60.78993203364049,60.71905547665838,52.4943042766438,62.342200660077,53.432273571333056,56.85271968374901,65.96580739802262,55.865785162205256,57.7962052087608,58.875784998900414,65.96580739802262,52.4943042766438,14,59,7,52,66,38
Dist 39,34.37440735741807,33.782646209058534,41.67680513819306,35.02303982860451,36.940711250494424,29.99652122374448,29.72580967983385,36.376444787299235,28.941852186897798,32.18432651405809,33.9022564175602,41.67680513819306,28.941852186897798,13,34,6,28,40,39
Dist 40,40.574032355101586,37.34449688928073,43.93120994523288,37.105675718608175,44.742718308869094,35.97978709983624,34.97705242169249,43.82308566457438,34.405513761182235,39.9197439710362,39.2803316135414,44.742718308869094,34.405513761182235,11,39,6,33,45,40
Dist 41,106.43292659364712,100.86607240699666,92.67298890330436,79.69897766197079,111.36061312097908,89.39200153778685,100.6764580722341,114.78784206190775,98.45528664467312,103.02078666477519,99.73639536682751,114.78784206190775,79.69897766197079,35,100,18,82,118,41
Dist 42,81.65664742152805,79.13118538900056,77.18794100915962,69.13834759873677,83.29455752567472,74.46546526250657,75.8844317537588,90.49901321092989,74.26239664301666,81.73617725992803,78.72561630742396,90.49901321092989,69.13834759873677,21,79,10,69,89,42
