Distances,Read 1,Read 2,Read 3,Read 4,Read 5,Read Avg,Read Max,Read Min,Read Difference,Round Avg,+/-,Round Min,Round Max,n
Dist 13,25.142175930244953,21.037425698558565,26.543598448182358,28.459807669033424,24.80628211704776,25.197857972613413,28.459807669033424,21.037425698558565,7,25,4,21,29,13
Dist 14,42.733481894167284,43.44113794567765,46.14981366439177,51.8023496663898,48.887933750179535,46.60294338416121,51.8023496663898,42.733481894167284,9,47,4,43,51,14
Dist 15,2.3243949870060185,1.3305236262800781,2.399214568132821,3.34243490135121,4.412063942511736,2.761726405056373,4.412063942511736,1.3305236262800781,3,3,2,1,5,15
Dist 16,18.82616452835222,24.425166969135702,20.04457263119035,27.17463298210008,26.655585727904114,23.425224567736493,27.17463298210008,18.82616452835222,8,23,4,19,27,16
Dist 17,12.167047724240774,13.305236262800783,13.097162677825859,11.235752893705373,11.200425971577586,12.201125106030075,13.305236262800783,11.200425971577586,2,12,1,11,13,17
Dist 18,27.206345796886485,29.899799759282534,27.355254901248845,33.18955389093666,30.6030344624837,29.650797762167645,33.18955389093666,27.206345796886485,6,30,3,27,33,18
Dist 19,1.0395010395010396,2.8224668360146765,2.399214568132821,2.3634583844200296,4.412063942511736,2.6073409541160606,4.412063942511736,1.0395010395010396,3,3,2,1,5,19
Dist 20,17.67151767151767,20.633843446666013,18.459925465756708,25.0571178334842,26.060657417099975,21.576612366904914,26.060657417099975,17.67151767151767,8,22,4,18,26,20
Dist 21,64.75015177712031,62.385811083264294,68.14783050729791,76.31445727168249,69.91570846078041,68.30279182002909,76.31445727168249,62.385811083264294,14,68,7,61,75,21
Dist 22,19.777856123118962,21.82221000045762,21.486034758048053,22.296821805019544,21.937420039235636,21.464068545175962,22.296821805019544,19.777856123118962,2,21,1,20,22,22
Dist 23,23.998745074044063,24.11516721794392,26.303971399423308,29.234365682146354,25.998336106489187,25.930117096009365,29.234365682146354,23.998745074044063,5,26,2,24,28,23
Dist 24,23.452212417210973,22.658000900916917,23.823608702976948,25.91195575971095,22.97288065138782,23.763731686440725,25.91195575971095,22.658000900916917,3,24,2,22,26,24
Dist 25,46.777546777546775,43.77604713192903,48.22361599623225,53.90550681746116,49.93846590492084,48.52423652561801,53.90550681746116,43.77604713192903,10,49,5,44,54,25
Dist 26,67.44751849275815,63.622128375940214,72.6134090802087,77.16610188539893,73.26919697923685,70.82367096270858,77.16610188539893,63.622128375940214,13,71,6,65,77,26
Dist 27,95.0276805449923,87.7742311765216,100.29176064105208,107.30205181871246,101.85509720441298,98.45016427713827,107.30205181871246,87.7742311765216,19,98,10,88,108,27
Dist 28,122.27731630486176,112.3524592200727,127.33931616857818,135.09392502839412,125.73307125883983,124.55921759614932,135.09392502839412,112.3524592200727,23,125,12,113,137,28
Dist 29,44.126788517237266,34.708564767516634,46.14981366439177,46.08440832172422,47.30268475683926,43.67445200554182,47.30268475683926,34.708564767516634,12,44,6,38,50,29
Dist 30,22.051147022449502,31.06138680820242,27.68988819863506,30.724958997460384,31.19800332778702,28.545076870906883,31.19800332778702,22.051147022449502,9,29,4,25,33,30
Dist 31,48.32282452877113,52.255881369832785,54.12874787823794,59.83798691351089,58.282679988361295,54.5656241357428,59.83798691351089,48.32282452877113,12,55,6,49,61,31
Dist 32,76.90200306936251,75.47717045867562,82.39477109333899,89.7678706588587,83.62254780771475,81.63287261759011,89.7678706588587,75.47717045867562,15,82,8,74,90,32
Dist 33,59.56984940496632,53.26250768545737,64.38662312737122,64.39719358092303,65.85332861475692,61.49390048269497,65.85332861475692,53.26250768545737,13,61,6,55,67,33
Dist 34,37.14671181955433,33.36936278289246,37.430823052601724,41.167618843992074,36.92862084976019,37.20862746976015,41.167618843992074,33.36936278289246,8,37,4,33,41,34
Dist 35,30.854099957704424,32.82108108479144,34.099245884271895,40.24824598807689,38.60380863824997,35.325296310618924,40.24824598807689,30.854099957704424,9,35,4,31,39,35
Dist 36,58.18420777196062,54.29123359207266,61.449875808053015,68.85740397379698,62.85363243037262,61.12727071525118,68.85740397379698,54.29123359207266,15,61,8,53,69,36
Dist 37,80.55294705222191,73.7691063464584,87.18100028228272,89.7678706588587,87.90360007905225,83.83490488377478,89.7678706588587,73.7691063464584,16,84,8,76,92,37
